
모델 로드: Qwen/Qwen2.5-VL-7B-Instruct
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.48, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.

Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]
Loading checkpoint shards:  20%|██        | 1/5 [00:00<00:02,  1.58it/s]
Loading checkpoint shards:  40%|████      | 2/5 [00:01<00:02,  1.32it/s]
Loading checkpoint shards:  60%|██████    | 3/5 [00:02<00:01,  1.45it/s]
Loading checkpoint shards:  80%|████████  | 4/5 [00:02<00:00,  1.40it/s]
Loading checkpoint shards: 100%|██████████| 5/5 [00:03<00:00,  1.74it/s]
Loading checkpoint shards: 100%|██████████| 5/5 [00:03<00:00,  1.58it/s]
trainable params: 47,589,376 || all params: 8,339,756,032 || trainable%: 0.5706

DataLoader 구성 중...
[build_token_to_images] 총 토큰 수: 4072
[DriveLMDataset] 총 샘플 수: 377983
[NuScenesQADataset] 전체: 376604, 매핑 가능: 54607

[DataLoader 구성]
  DriveLM:     377,983개  (배치 내 목표 비율: 40%)
  NuScenes-QA: 54,607개  (배치 내 목표 비율: 60%)
  batch_size:  4
  전체 스텝/epoch: 108,147

============================================================
Teacher LoRA Fine-tuning 시작
  epochs:         1
  batch_size:     4
  grad_accum:     4
  effective_batch:16
  total_steps:    27037
  warmup_steps:   811
  learning_rate:  2e-05
============================================================

/venv/main/lib/python3.12/site-packages/torch/nn/modules/conv.py:605: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv3d(
  [05:48:28]   [Epoch 1/1] step 50/27037 | loss: 9.3149 | lr: 1.23e-06 | source: DriveLM 1/4
  [05:52:38]   [Epoch 1/1] step 100/27037 | loss: 9.1941 | lr: 2.47e-06 | source: DriveLM 1/4
  [05:56:46]   [Epoch 1/1] step 150/27037 | loss: 8.0301 | lr: 3.70e-06 | source: DriveLM 0/4
  [06:00:56]   [Epoch 1/1] step 200/27037 | loss: 6.5997 | lr: 4.93e-06 | source: DriveLM 0/4
  [06:05:06]   [Epoch 1/1] step 250/27037 | loss: 5.6430 | lr: 6.17e-06 | source: DriveLM 3/4
  [06:09:15]   [Epoch 1/1] step 300/27037 | loss: 4.9651 | lr: 7.40e-06 | source: DriveLM 3/4
  [06:13:23]   [Epoch 1/1] step 350/27037 | loss: 4.4496 | lr: 8.63e-06 | source: DriveLM 2/4
  [06:17:31]   [Epoch 1/1] step 400/27037 | loss: 4.0415 | lr: 9.86e-06 | source: DriveLM 2/4
  [06:21:40]   [Epoch 1/1] step 450/27037 | loss: 3.7109 | lr: 1.11e-05 | source: DriveLM 3/4
  [06:25:47]   [Epoch 1/1] step 500/27037 | loss: 3.4360 | lr: 1.23e-05 | source: DriveLM 1/4
  [06:29:55]   [Epoch 1/1] step 550/27037 | loss: 3.2082 | lr: 1.36e-05 | source: DriveLM 3/4
  [06:34:05]   [Epoch 1/1] step 600/27037 | loss: 3.0111 | lr: 1.48e-05 | source: DriveLM 1/4
  [06:38:14]   [Epoch 1/1] step 650/27037 | loss: 2.8453 | lr: 1.60e-05 | source: DriveLM 1/4
  [06:42:24]   [Epoch 1/1] step 700/27037 | loss: 2.7006 | lr: 1.73e-05 | source: DriveLM 1/4
  [06:46:34]   [Epoch 1/1] step 750/27037 | loss: 2.5713 | lr: 1.85e-05 | source: DriveLM 3/4
  [06:50:44]   [Epoch 1/1] step 800/27037 | loss: 2.4564 | lr: 1.97e-05 | source: DriveLM 1/4
  [06:54:54]   [Epoch 1/1] step 850/27037 | loss: 2.3529 | lr: 2.00e-05 | source: DriveLM 2/4
